# Phase 0 candidate shortlist. NOT a proof: ~12 pairs x 4 correlation windows + a cointegration p-value each is a multiple-comparisons setup, no correction applied. Confirm any selection out-of-sample before trading it.
pair,corr_30d_mean,corr_90d_mean,corr_180d_mean,corr_365d_mean,corr_min_across_windows,corr_consistent,coint_pvalue,beta_mean,beta_cv,beta_autocorr,note
SPY/VOO,0.9991356521659793,0.9992072263735625,0.999213639420765,0.9991168048983409,0.9991168048983409,True,0.0059809457204357454,0.9167255137014427,0.0024411491025189895,0.9870276070874208,cointegrated + consistently correlated
V/MA,0.8509075738909961,0.8675303972854268,0.8774252927467349,0.8871505772203525,0.8509075738909961,True,0.006669997327338438,1.519719182578556,0.34797631622826336,0.9989347918656957,cointegrated + consistently correlated
KO/PEP,0.7121981427958186,0.713423393795084,0.7183269577500114,0.728446359404995,0.7121981427958186,True,0.025417982665127556,1.919712278399696,0.5889000188119842,0.9987174611459047,cointegrated + consistently correlated
KMB/PG,0.6283718130521623,0.6150296917356743,0.6234272861957862,0.6459755374500066,0.6150296917356743,True,0.05205390666326169,0.48095539887132294,0.8482955588111795,0.9982818763881612,
UNP/CSX,0.7340263682446975,0.723615933200129,0.7172503242533992,0.7176045762542863,0.7172503242533992,True,0.0680934225240872,0.15205192958912528,0.6423203109240437,0.9988664893499587,
MCD/YUM,0.5357773946642534,0.5246489263386058,0.5278182003979518,0.5532539898710058,0.5246489263386058,True,0.09843572550095991,0.3194505486390241,1.2180551640288748,0.9981486061279923,"beta unstable -- looks like noise, not a structural relationship"
GS/MS,0.8549603241319793,0.860996582464741,0.864537230343613,0.8691342618906586,0.8549603241319793,True,0.14934138344382464,0.20113150056628576,0.33762534714567444,0.9979493311580573,
GLD/GDX,0.8083223746627622,0.8034331565552238,0.795435167095118,0.7780287610628568,0.7780287610628568,True,0.1513558845835003,0.3476844983220335,0.425527558089801,0.9988869018154939,
HD/LOW,0.7332688680947879,0.7292953418966808,0.7423478757354979,0.7512562419368897,0.7292953418966808,True,0.1958785119189121,0.5679069231169723,0.45422595311164776,0.9981598748108347,
PG/CL,0.6791972293978252,0.6724128864092638,0.6800683672384281,0.6904382487435953,0.6724128864092638,True,0.2059708583190648,0.4117543793381764,0.9445234494476817,0.9985143134148593,
BTC-USD/ETH-USD,0.8055336454919054,0.8059563188396665,0.8052217148684678,0.8074595091582754,0.8052217148684678,True,0.21418117789168506,0.04527978436359765,0.7176011044891503,0.9985465377070558,
