pair,percentile,variance_explained,adf_pvalue,half_life_days,best_z_entry,best_z_exit,best_sharpe,best_max_drawdown,best_hit_rate,best_n_trades,best_turnover,best_extreme_sharpe,best_normal_sharpe,grid_sharpe_std
V_MA,0,1.0,0.0,0.6479859284946597,2.5,0.25,-2.9707191306185674,-15.467120897377283,0.0,38,0.021566401816118047,-13.578003496108556,-2.4100506357216918,2.356331563134353
V_MA,50,0.8495046206861454,0.0,0.649480072384667,2.5,0.25,-2.8929543688325725,-14.206650000271678,0.0,36,0.02043132803632236,-12.338712280296782,-2.3924495717186316,2.5439810793465223
V_MA,60,0.7560805789243701,0.0,0.6478552885847516,2.5,0.25,-2.81809780327432,-13.561426244498387,0.0,33,0.01872871736662883,-12.489560545204139,-2.277941980939681,2.719326259808815
V_MA,70,0.6555978271052079,0.0,0.6420078672745813,2.5,0.25,-2.6441650877283753,-11.9350664279125,0.0,29,0.016458569807037457,-12.979359072818747,-2.0315852347990955,2.828468273191018
V_MA,80,0.5386775727925885,0.0,0.6295792251103594,2.5,0.25,-2.3700303228471657,-10.111055759739045,0.0,22,0.012485811577752554,-10.819217101248205,-1.8257021483333646,3.105247629770306
V_MA,90,0.37589295054214866,0.0,0.6013279729255003,2.5,0.25,-2.2058050820041704,-8.183516410304552,0.0,19,0.010783200908059024,-8.597126492924223,-1.7951408113505376,3.362806057889694
V_MA,95,0.22561176091166724,1.1961994189994643e-22,0.5926088424543428,2.5,0.25,-1.3617491486622877,-3.14568209110906,0.0,7,0.003972758229284903,-3.1383373324573767,-1.272972989639991,3.8932695597656064
KO_PEP,0,1.0,1.5702451025185957e-21,0.6250464481585183,2.5,0.25,-3.231850383304541,-7.049763031708983,0.0,37,0.020998864926220204,-13.179732809276164,-2.7953100525801307,2.656907295943461
KO_PEP,50,0.8555438018611132,1.8219364436949134e-21,0.61270487636099,2.5,0.25,-2.800289530819685,-5.338054813156822,0.0,28,0.015891032917139614,-12.582483416400253,-2.312113075024159,3.187606961680516
KO_PEP,60,0.7760123807000116,2.9987735211457315e-19,0.5969832956056792,2.5,0.25,-2.6463560501905827,-4.753250451987325,0.0,25,0.014188422247446084,-12.021895139369851,-2.1552704675289176,3.362621820104498
KO_PEP,70,0.6618170334455089,1.5047736508705762e-13,0.5871108379740946,2.5,0.25,-2.811587259518129,-5.207425035735072,0.0,28,0.015891032917139614,-13.813147534925688,-2.255650024345613,3.4565994266817985
KO_PEP,80,0.4855543128616998,1.3950303822701688e-15,0.5716067295918876,2.5,0.25,-2.774275662024509,-4.928399475601181,0.0,27,0.01532349602724177,-13.209292631138709,-2.2419061005083707,3.6644873304319376
KO_PEP,90,0.36252835071013645,6.500722964447613e-16,0.5528286738956372,2.5,0.25,-2.2710827992189095,-3.279276541813266,0.0,18,0.01021566401816118,-10.467873498540484,-1.791245106686306,3.755597403147651
KO_PEP,95,0.20652473092634027,5.994610220494529e-11,0.5082228134605352,2.5,0.25,-1.6969451126427046,-1.8790755206351804,0.0,10,0.0056753688989784334,-7.822689012698057,-1.2723951675258682,4.515146857665118
