pair,train_half_life,delta,obs_cov,test_sharpe,test_n_trades,test_hit_rate,test_max_dd,fold,coint_pvalue_train
XOM/CVX,23.71064822916542,1e-06,10.0,0.6603549694344311,17,0.8235294117647058,-3.1736157090885637,1,0.042526160550850824
LUV/JBLU,10.32641327046651,1e-06,1.0,0.9659173335455773,13,0.7692307692307693,-0.8141194244558421,2,0.0012065106380543433
V/MA,6.837671560478743,1e-06,10.0,1.375076594334931,14,0.9285714285714286,-5.1321283354909655,2,0.009358426123100012
UNP/CSX,10.416016413425082,1e-06,10.0,1.967727171736899,17,0.9411764705882353,-0.5549352559922069,2,0.019559177770216755
GLD/GDX,8.115635460176732,1e-06,10.0,1.682550145776644,19,0.8947368421052632,-1.176864802036628,2,0.021708197801226826
SPY/VOO,0.6464743462680294,1e-06,10.0,-7.833575840774771,54,0.0,-33.22227843644228,2,0.023998462595177582
EFA/VEA,19.161473797156198,1e-06,10.0,-0.7662073200672497,14,0.35714285714285715,-0.541001449247509,2,0.027825807472478033
DHI/LEN,10.45558747347497,1e-06,10.0,0.9234295064633539,14,0.7857142857142857,-1.4441731110845175,3,0.0021655574227829534
MO/PM,14.279119256065393,1e-05,10.0,1.3807144175519588,20,0.85,-0.154440033527665,3,0.0052713176283288405
UNP/CSX,8.44240342623935,1e-06,10.0,2.5730790936856116,28,0.9642857142857143,-0.038012968219091635,3,0.005299357680311681
V/MA,6.815743827945142,1e-06,10.0,1.7653511195816565,24,1.0,0.09615179034625987,3,0.007841639086574113
LUV/JBLU,10.9944143065571,1e-06,1.0,1.9187785264095578,21,0.8571428571428571,-0.5068075662202249,3,0.015668408610127523
KMB/PG,12.960226240604843,1e-06,10.0,2.3452442822040958,21,0.9047619047619048,0.24998280956447438,3,0.01848946146899741
GS/MS,7.12112130140848,1e-06,10.0,3.145405910275005,34,1.0,-0.9290221821638093,3,0.04186701715112762
