pair,train_half_life,delta,obs_cov,test_sharpe,test_n_trades,test_hit_rate,test_max_dd,fold,coint_pvalue_train,bonferroni_survivor
XOM/CVX,23.710705220727576,1e-06,10.0,0.6603534873493507,17,0.8235294117647058,-3.1735965153092907,1,0.04252660399769268,False
SPY/VOO,0.6591703287698312,1e-06,10.0,-7.833707660787607,54,0.0,-33.22375514503273,2,0.005985620907575974,False
V/MA,7.349085764304868,1e-06,10.0,1.3750796925777065,14,0.9285714285714286,-5.132150853813257,2,0.006669897091013962,False
KO/PEP,11.638334963444734,1e-05,10.0,0.6371442097478334,14,0.7857142857142857,-5.175531104792084,2,0.025418160524515596,False
IWM/MDY,14.431846201281159,1e-06,10.0,1.3332745362330785,18,0.8888888888888888,-3.899740971170922,2,0.03891895631619176,False
V/MA,7.431735653527422,1e-06,10.0,1.765346997595889,24,1.0,0.09613162051230706,3,3.6404989967144446e-05,True
KO/PEP,12.188229479741572,1e-05,10.0,2.1982752749279055,24,0.9583333333333334,-0.15798115349568068,3,0.0095086504759336,False
DAL/UAL,14.935924670472902,1e-05,10.0,2.0467090301371607,25,0.96,-0.6492949194378578,3,0.015049184160326674,False
GS/MS,7.624147773494763,1e-06,10.0,3.1454034484176003,34,1.0,-0.9290392326008738,3,0.01842574228793001,False
SPY/VOO,0.6655641869158986,1e-06,10.0,-5.888141651087769,60,0.03333333333333333,-51.912935410320856,3,0.018686868253940767,False
KMB/PG,15.570240829636857,1e-06,10.0,2.3452407537311983,21,0.9047619047619048,0.24994264431793434,3,0.020623696221950864,False
PG/CL,22.283435936071918,1e-06,10.0,1.9508265021056899,24,1.0,0.02082892788394064,3,0.02268438517679729,False
UNP/CSX,11.049429581743283,1e-06,10.0,2.5730791355659246,28,0.9642857142857143,-0.03801819574725937,3,0.022937509931824945,False
TRV/CB,11.49808946829969,1e-06,10.0,1.3773207111949322,21,0.9047619047619048,-5.062128073633952,3,0.029219476303135775,False
DHI/LEN,16.564277929869448,1e-06,10.0,0.9234292407204637,14,0.7857142857142857,-1.4441540840439766,3,0.043534109574731965,False
T/VZ,14.646251557386785,1e-05,1.0,2.882604200385515,28,1.0,-0.39360193989661246,3,0.04390689817434876,False
BTC-USD/ETH-USD,0.8486156550442633,1e-06,10.0,-7.160570108186204,87,0.0,-487.96628805882176,3,0.04906551623585947,False
